left_eye_from_center,right_eye_from_center,time_start,time_end,left_eye_dim,right_eye_dim
"[-3.5, -1.0]","[0.5, -1.0]",13.368429183959961,13.414670467376709,"(23, 45)","(23, 45)"
"[-2.5, -0.5]","[2.5, -0.5]",13.414670467376709,13.46126937866211,"(23, 45)","(23, 45)"
"[-2.5, -0.5]","[2.5, -0.5]",13.46126937866211,13.507339239120483,"(24, 45)","(23, 45)"
"[-3.5, -1.0]","[3.5, -0.5]",13.507339239120483,13.554392337799072,"(24, 45)","(23, 45)"
"[-2.5, 0.0]","[0.5, -0.5]",13.554392337799072,13.601535558700562,"(24, 45)","(23, 45)"
"[-2.5, 0.0]","[0.5, -0.5]",13.601535558700562,13.648304224014282,"(24, 46)","(23, 46)"
"[-3.0, -1.0]","[1.0, -0.5]",13.648304224014282,13.694936275482178,"(24, 44)","(24, 45)"
"[-3.0, -1.0]","[-1.5, 0.0]",13.694936275482178,13.741298913955688,"(24, 44)","(24, 45)"
"[-3.0, -1.0]","[-1.5, 0.0]",13.741298913955688,13.78820252418518,"(29, 46)","(30, 46)"
"[-7.0, -0.5]","[-1.0, -1.0]",13.78820252418518,13.835177421569824,"(29, 46)","(30, 46)"
"[-7.0, -0.5]","[-5.0, 0.0]",13.835177421569824,13.897904396057129,"(30, 46)","(31, 46)"
"[-8.0, -1.0]","[-6.0, -0.5]",13.897904396057129,13.960261583328247,"(30, 46)","(31, 46)"
"[-8.0, -1.0]","[-6.0, -0.5]",13.960261583328247,14.00770616531372,"(30, 46)","(31, 47)"
"[-8.0, -1.0]","[-5.5, -0.5]",14.00770616531372,14.054784059524536,"(30, 46)","(31, 47)"
"[-8.0, -1.0]","[-5.5, -0.5]",14.054784059524536,14.102370738983154,"(29, 47)","(31, 47)"
"[-7.5, -0.5]","[-5.5, -0.5]",14.102370738983154,14.149937152862549,"(28, 46)","(30, 47)"
"[-7.0, -1.0]","[-3.5, 0.0]",14.149937152862549,14.19602632522583,"(26, 45)","(26, 45)"
"[-4.5, -1.0]","[0.5, -1.0]",14.19602632522583,14.258187770843506,"(26, 45)","(26, 45)"
"[-4.5, -1.0]","[0.5, -1.0]",14.258187770843506,14.304795265197754,"(26, 45)","(26, 45)"
"[0.5, -1.0]","[2.5, -1.0]",14.304795265197754,14.352419376373291,"(26, 45)","(26, 45)"
"[0.5, -1.0]","[2.5, -1.0]",14.352419376373291,14.398985147476196,"(28, 47)","(28, 47)"
"[5.5, -1.0]","[7.5, -1.0]",14.398985147476196,14.445045232772827,"(28, 46)","(29, 46)"
"[5.0, -1.0]","[7.0, -1.5]",14.445045232772827,14.492061376571655,"(28, 47)","(28, 46)"
"[5.5, -1.0]","[7.0, -1.0]",14.492061376571655,14.554491519927979,"(28, 47)","(28, 46)"
