left_eye_from_center,right_eye_from_center,time_start,time_end
"[-8.0, 0.5]","[-8.0, 0.5]",16.128230094909668,16.174784421920776
"[-7.5, 0.0]","[-7.5, -0.5]",16.174784421920776,16.22136902809143
"[-7.5, 0.0]","[-7.5, -0.5]",16.22136902809143,16.267501831054688
"[-7.0, 0.5]","[-7.0, 0.0]",16.267501831054688,16.313722372055054
"[-8.0, 0.5]","[-7.5, -0.5]",16.313722372055054,16.360783100128174
"[-8.0, 0.5]","[-7.5, -0.5]",16.360783100128174,16.408310890197754
"[-7.5, 1.0]","[-7.5, 0.0]",16.408310890197754,16.45449686050415
"[-7.5, 1.0]","[-7.5, 0.0]",16.45449686050415,16.501617431640625
"[-7.0, 1.0]","[-7.0, 0.0]",16.501617431640625,16.548327922821045
"[-8.0, 0.0]","[-7.0, 0.0]",16.548327922821045,16.595484972000122
"[-8.0, 0.0]","[-7.0, 0.0]",16.595484972000122,16.643380641937256
"[-8.0, 0.5]","[-7.0, -0.5]",16.643380641937256,16.690185546875
"[-8.0, 0.5]","[-7.0, -0.5]",16.690185546875,16.737781524658203
"[-8.0, 1.0]","[-8.0, 0.5]",16.737781524658203,16.78537344932556
"[-8.0, 1.0]","[-6.5, 0.0]",16.78537344932556,16.83170747756958
"[-8.0, 1.0]","[-6.5, 0.0]",16.83170747756958,16.878281116485596
"[-4.0, 0.5]","[-1.5, -2.0]",16.878281116485596,16.92435908317566
"[-3.5, 0.0]","[0.0, -1.5]",16.92435908317566,16.970680713653564
"[-3.5, 0.0]","[0.0, -1.5]",16.970680713653564,17.017383575439453
"[-3.5, -0.5]","[0.0, -1.5]",17.017383575439453,17.06492781639099
"[-3.5, -0.5]","[0.5, -2.0]",17.06492781639099,17.110780477523804
"[-3.5, -0.5]","[0.5, -2.0]",17.110780477523804,17.1583468914032
"[-4.5, 0.0]","[-1.0, -1.5]",17.1583468914032,17.205521821975708
"[-4.5, 0.0]","[-2.0, -1.5]",17.205521821975708,17.25115132331848
"[-5.0, -0.5]","[-1.0, -1.0]",17.25115132331848,17.313369750976562
"[-5.0, -0.5]","[-1.0, -1.0]",17.313369750976562,17.36040735244751
"[-5.0, 0.0]","[-1.5, -2.0]",17.36040735244751,17.406511068344116
"[-5.0, 0.0]","[-1.5, -2.0]",17.406511068344116,17.45414400100708
"[-5.5, 0.5]","[-3.0, -1.5]",17.45414400100708,17.500857830047607
"[-5.5, 0.5]","[-3.0, -1.5]",17.500857830047607,17.54592752456665
"[-5.5, 0.5]","[-4.0, -1.0]",17.54592752456665,17.592360734939575
"[-6.0, 0.0]","[-3.5, -0.5]",17.592360734939575,17.639589309692383
"[-6.0, 0.0]","[-3.5, -0.5]",17.639589309692383,17.686174869537354
"[-6.0, 0.0]","[-3.5, -0.5]",17.686174869537354,17.733848810195923
"[-6.0, 0.5]","[-4.0, -1.5]",17.733848810195923,17.780113220214844
"[-6.0, 0.5]","[-4.0, -1.5]",17.780113220214844,17.826754093170166
"[-7.5, 0.5]","[-5.5, -0.5]",17.826754093170166,17.873703718185425
"[-7.0, 0.5]","[-7.0, -1.0]",17.873703718185425,17.920379161834717
"[-7.5, 0.5]","[-6.5, 0.0]",17.920379161834717,17.96788716316223
"[-7.5, 0.5]","[-6.5, 0.0]",17.96788716316223,18.014606475830078
"[-7.0, 0.5]","[-6.5, -0.5]",18.014606475830078,18.06125521659851
"[-7.0, 0.5]","[-6.5, -0.5]",18.06125521659851,18.108381509780884
"[-6.5, 0.5]","[-5.0, -0.5]",18.108381509780884,18.155214071273804
"[-6.5, 0.5]","[-5.0, -0.5]",18.155214071273804,18.201460361480713
"[-7.0, 0.0]","[-6.0, -0.5]",18.201460361480713,18.248181104660034
"[-6.5, 0.5]","[-6.5, -1.0]",18.248181104660034,18.294639348983765
"[-5.0, 0.5]","[-4.0, -1.0]",18.294639348983765,18.340667247772217
"[-5.0, 0.5]","[-4.0, -1.0]",18.340667247772217,18.38830828666687
"[-3.0, -1.0]","[0.0, -1.0]",18.38830828666687,18.4353084564209
"[-3.0, -1.0]","[0.0, -1.0]",18.4353084564209,18.482361316680908
"[-2.0, -1.0]","[1.0, -1.0]",18.482361316680908,18.529654264450073
"[1.0, -1.5]","[3.5, -1.0]",18.529654264450073,18.57619571685791
"[1.5, -1.5]","[3.5, -1.0]",18.57619571685791,18.639184713363647
"[1.5, -1.5]","[3.5, -1.0]",18.639184713363647,18.68602442741394
"[1.5, -0.5]","[5.0, -1.0]",18.68602442741394,18.73228621482849
"[1.5, -0.5]","[5.0, -1.0]",18.73228621482849,18.779025316238403
"[1.0, -0.5]","[4.5, -1.0]",18.779025316238403,18.82617688179016
"[1.0, -0.5]","[4.5, -1.0]",18.82617688179016,18.8722882270813
"[2.5, -1.0]","[3.5, -1.5]",18.8722882270813,18.91959261894226
"[2.5, -1.0]","[4.0, -1.5]",18.91959261894226,18.966310501098633
"[3.5, -1.0]","[5.0, -1.5]",18.966310501098633,19.013871908187866
"[3.5, -1.0]","[5.0, -1.5]",19.013871908187866,19.060581922531128
"[3.5, -0.5]","[6.0, -1.0]",19.060581922531128,19.107831954956055
"[3.5, -0.5]","[6.0, -1.0]",19.107831954956055,19.15506410598755
"[3.5, -0.5]","[6.0, -1.0]",19.15506410598755,19.202566862106323
"[4.0, -0.5]","[6.5, -0.5]",19.202566862106323,19.24944019317627
"[4.0, 0.0]","[6.5, -0.5]",19.24944019317627,19.296257734298706
"[4.0, 0.0]","[6.5, -0.5]",19.296257734298706,19.342827081680298
"[5.0, 0.0]","[6.5, -1.0]",19.342827081680298,19.38962960243225
"[5.0, 0.0]","[6.5, -1.0]",19.38962960243225,19.437366485595703
"[4.5, -0.5]","[6.0, -1.5]",19.437366485595703,19.484333038330078
"[4.5, -0.5]","[6.0, -1.5]",19.484333038330078,19.530221700668335
"[4.0, 0.0]","[4.5, -1.0]",19.530221700668335,19.57693362236023
"[4.0, 0.0]","[6.5, -1.0]",19.57693362236023,19.62429404258728
"[4.5, 0.0]","[5.5, -0.5]",19.62429404258728,19.67062544822693
"[4.5, 0.0]","[5.5, -0.5]",19.67062544822693,19.717946529388428
"[4.5, 0.0]","[7.0, -0.5]",19.717946529388428,19.765565156936646
