left_eye_from_center,right_eye_from_center,start_time,end_time,left_eye_dim,right_eye_dim,left_eye_x,right_eye_x,duration,slide
"[-9.5, -0.5]","[3.5, -1.0]",4.266666666666667,4.3,"(37, 89)","(39, 93)",-9.5,3.5,0.033333333333333215,0
"[-8.5, -1.5]","[4.5, -0.5]",4.3,4.333333333333333,"(37, 87)","(40, 92)",-8.5,4.5,0.033333333333333215,0
"[-8.5, -1.5]","[4.0, -1.0]",4.333333333333333,4.366666666666666,"(38, 88)","(40, 93)",-8.5,4.0,0.033333333333333215,0
"[-8.0, -2.0]","[5.5, -1.0]",4.366666666666666,4.4,"(39, 89)","(41, 92)",-8.0,5.5,0.0333333333333341,0
"[-8.5, -1.5]","[5.0, -0.5]",4.4,4.433333333333334,"(38, 89)","(41, 91)",-8.5,5.0,0.033333333333333215,0
"[-7.5, -2.0]","[6.5, -0.5]",4.433333333333334,4.466666666666667,"(39, 88)","(40, 88)",-7.5,6.5,0.033333333333333215,0
"[-8.0, -1.5]","[7.0, 0.0]",4.466666666666667,4.5,"(38, 87)","(40, 90)",-8.0,7.0,0.033333333333333215,0
"[-6.5, -2.0]","[7.0, 0.0]",4.5,4.533333333333333,"(38, 88)","(40, 90)",-6.5,7.0,0.033333333333333215,0
"[-7.0, -2.0]","[7.0, -1.0]",4.533333333333333,4.566666666666666,"(38, 87)","(41, 89)",-7.0,7.0,0.033333333333333215,0
"[-5.5, -2.0]","[7.5, -0.5]",4.566666666666666,4.6,"(38, 88)","(40, 89)",-5.5,7.5,0.033333333333333215,0
"[-7.0, -2.0]","[7.5, 0.0]",4.6,4.633333333333333,"(39, 88)","(40, 91)",-7.0,7.5,0.033333333333333215,0
"[-6.0, -1.5]","[7.5, 0.0]",4.633333333333333,4.666666666666667,"(38, 88)","(40, 89)",-6.0,7.5,0.0333333333333341,0
"[-6.0, -1.0]","[9.5, 0.0]",4.666666666666667,4.7,"(39, 88)","(41, 90)",-6.0,9.5,0.033333333333333215,0
"[-6.0, -1.5]","[7.0, -0.5]",4.7,4.733333333333333,"(38, 89)","(40, 89)",-6.0,7.0,0.033333333333333215,0
"[-6.5, -2.0]","[9.5, 0.0]",4.733333333333333,4.766666666666667,"(39, 89)","(42, 93)",-6.5,9.5,0.033333333333333215,0
"[-5.5, -1.5]","[6.5, -1.0]",4.766666666666667,4.8,"(38, 90)","(41, 93)",-5.5,6.5,0.033333333333333215,0
"[-5.0, -2.0]","[6.5, -0.5]",4.8,4.833333333333333,"(37, 87)","(40, 89)",-5.0,6.5,0.033333333333333215,0
"[-5.5, -1.5]","[9.5, 0.0]",4.833333333333333,4.866666666666666,"(38, 87)","(41, 88)",-5.5,9.5,0.033333333333333215,0
"[-5.5, -2.0]","[8.0, 0.5]",4.866666666666666,4.9,"(35, 86)","(38, 88)",-5.5,8.0,0.0333333333333341,0
"[-7.0, -0.5]","[6.0, 1.0]",4.9,4.933333333333334,"(36, 88)","(40, 91)",-7.0,6.0,0.033333333333333215,0
"[-8.0, -2.0]","[4.5, 0.0]",4.933333333333334,4.966666666666667,"(35, 84)","(38, 85)",-8.0,4.5,0.033333333333333215,0
"[-7.0, -1.5]","[6.5, 1.0]",4.966666666666667,5.0,"(33, 84)","(37, 85)",-7.0,6.5,0.033333333333333215,0
"[-7.0, -1.5]","[5.5, 0.5]",5.0,5.033333333333333,"(30, 86)","(35, 88)",-7.0,5.5,0.033333333333333215,0
"[-9.0, -1.0]","[5.0, 0.5]",5.033333333333333,5.066666666666666,"(31, 87)","(36, 88)",-9.0,5.0,0.033333333333333215,0
"[-8.5, -1.5]","[4.0, 0.0]",5.066666666666666,5.1,"(31, 87)","(36, 90)",-8.5,4.0,0.033333333333333215,0
"[-8.5, -0.5]","[4.0, 0.0]",5.1,5.133333333333333,"(32, 87)","(35, 89)",-8.5,4.0,0.033333333333333215,0
"[-7.5, -1.0]","[3.5, 0.5]",5.133333333333333,5.166666666666667,"(33, 87)","(35, 88)",-7.5,3.5,0.0333333333333341,0
"[-7.5, -0.5]","[5.0, -0.5]",5.166666666666667,5.2,"(30, 86)","(34, 88)",-7.5,5.0,0.033333333333333215,0
"[-7.0, -1.0]","[2.0, -1.0]",5.2,5.233333333333333,"(28, 83)","(34, 86)",-7.0,2.0,0.033333333333333215,0
"[-7.5, -2.0]","[-1.0, -1.0]",5.233333333333333,5.266666666666667,"(26, 83)","(32, 87)",-7.5,-1.0,0.033333333333333215,0
"[-4.5, -2.0]","[-1.5, -1.0]",5.266666666666667,5.3,"(28, 82)","(32, 81)",-4.5,-1.5,0.033333333333333215,0
"[-4.0, -2.0]","[1.5, -1.0]",5.3,5.333333333333333,"(27, 81)","(32, 79)",-4.0,1.5,0.033333333333333215,0
"[-6.5, -1.5]","[0.5, -1.0]",5.333333333333333,5.366666666666666,"(29, 82)","(32, 82)",-6.5,0.5,0.033333333333333215,0
"[-7.0, -1.5]","[0.0, -1.0]",5.366666666666666,5.4,"(27, 82)","(32, 81)",-7.0,0.0,0.0333333333333341,0
"[-5.0, -1.5]","[0.5, -1.0]",5.4,5.433333333333334,"(27, 82)","(31, 82)",-5.0,0.5,0.033333333333333215,0
"[-8.0, -1.5]","[0.0, -0.5]",5.433333333333334,5.466666666666667,"(27, 82)","(31, 81)",-8.0,0.0,0.033333333333333215,0
"[-8.0, -1.5]","[1.5, -0.5]",5.466666666666667,5.5,"(27, 82)","(31, 83)",-8.0,1.5,0.033333333333333215,0
"[-7.0, -1.5]","[1.5, -0.5]",5.5,5.533333333333333,"(26, 83)","(31, 84)",-7.0,1.5,0.033333333333333215,0
"[-7.5, -1.0]","[3.0, -0.5]",5.533333333333333,6.033333333333333,"(30, 84)","(32, 89)",-7.5,3.0,0.5,0
"[-10.0, -1.0]","[4.5, -1.0]",6.033333333333333,6.066666666666666,"(31, 84)","(32, 89)",-10.0,4.5,0.033333333333333215,0
"[-7.0, -1.5]","[3.5, -1.0]",6.066666666666666,6.1,"(30, 84)","(32, 90)",-7.0,3.5,0.033333333333333215,0
"[-7.0, -2.0]","[2.0, -1.0]",6.1,6.133333333333333,"(30, 85)","(32, 90)",-7.0,2.0,0.033333333333333215,0
"[-10.5, -2.0]","[3.0, -1.0]",6.133333333333333,6.166666666666667,"(31, 84)","(32, 89)",-10.5,3.0,0.0333333333333341,0
"[-11.0, -1.5]","[2.5, -2.0]",6.166666666666667,6.2,"(31, 84)","(32, 89)",-11.0,2.5,0.033333333333333215,0
